trip_hour,member_casual,avg_trips_per_hour
0,casual,60.1961538461539
0,member,65.846153846153769
1,casual,35.5135135135135
1,member,32.784615384615364
2,casual,20.810077519379835
2,member,18.896153846153855
3,casual,13.135135135135137
3,member,14.590733590733578
4,casual,12.657692307692306
4,member,23.350000000000019
5,casual,33.226923076923079
5,member,115.79615384615389
6,casual,97.292307692307674
6,member,367.31153846153842
7,casual,171.34999999999994
7,member,682.94999999999993
8,casual,212.00000000000006
8,member,827.35384615384635
9,casual,163.36538461538458
9,member,465.8846153846157
10,casual,175.27692307692308
10,member,358.08461538461535
11,casual,226.01153846153838
11,member,431.52307692307659
12,casual,276.66153846153844
12,member,507.01538461538416
13,casual,286.15384615384636
13,member,503.7153846153854
14,casual,303.93076923076916
14,member,515.68076923076922
15,casual,363.373076923077
15,member,685.50384615384587
16,casual,464.06538461538418
16,member,1019.7153846153844
17,casual,556.503846153846
17,member,1247.1576923076923
18,casual,477.58461538461546
18,member,955.65000000000032
19,casual,345.8230769230766
19,member,657.24230769230792
20,casual,248.67307692307688
20,member,449.87307692307678
21,casual,207.91538461538454
21,member,345.34230769230766
22,casual,178.13846153846168
22,member,248.48846153846145
23,casual,119.64615384615385
23,member,148.55769230769226
