trip_hour,member_casual,avg_trips_per_hour
0,casual,202.31428571428575
0,member,175.37142857142857
1,casual,140.04761904761907
1,member,120.40952380952376
2,casual,87.375000000000043
2,member,70.788461538461533
3,casual,43.24761904761904
3,member,39.590476190476195
4,casual,25.750000000000007
4,member,25.780952380952389
5,casual,26.571428571428573
5,member,38.447619047619035
6,casual,46.238095238095241
6,member,93.419047619047618
7,casual,80.466666666666654
7,member,162.27619047619044
8,casual,148.3619047619047
8,member,277.16190476190485
9,casual,262.19047619047615
9,member,416.97142857142853
10,casual,390.78095238095233
10,member,530.904761904762
11,casual,492.94285714285718
11,member,611.25714285714287
12,casual,560.42857142857144
12,member,648.72380952380979
13,casual,592.895238095238
13,member,645.43809523809546
14,casual,606.71428571428555
14,member,645.96190476190452
15,casual,616.9904761904761
15,member,652.43809523809534
16,casual,588.96190476190463
16,member,633.42857142857144
17,casual,519.87619047619023
17,member,606.72380952380979
18,casual,457.36190476190433
18,member,564.92380952380927
19,casual,355.74285714285719
19,member,448.42857142857122
20,casual,259.65714285714296
20,member,330.38095238095224
21,casual,221.40952380952382
21,member,266.42857142857122
22,casual,209.92380952380955
22,member,222.83809523809512
23,casual,173.18095238095233
23,member,169.62857142857141
