start_station_name,member_rides
Clinton St & Washington Blvd,23972
Kingsbury St & Kinzie St,23934
Clark St & Elm St,22794
Wells St & Concord Ln,18985
Clinton St & Madison St,18852
Wells St & Elm St,18319
University Ave & 57th St,17799
Loomis St & Lexington St,17542
Ellis Ave & 60th St,16786
Broadway & Barry Ave,16617
State St & Chicago Ave,16368
Canal St & Adams St,16223
Streeter Dr & Grand Ave,16037
Clinton St & Jackson Blvd,15775
Morgan St & Polk St,15652
State St & 33rd St,15518
Larrabee St & Kingsbury St,15483
Wells St & Huron St,15315
Dearborn St & Erie St,15174
Sheffield Ave & Fullerton Ave,14858
